Post Content,Followers,User Bio,Age,Location,Hashtags,Engagement,Sentiment
Here's a picture of my new lunch. #yum,33142,Lifestyle guru and content creator.,30,London,['#lifeisgood'],400,2
"So proud of my progress, everything is falling into place!",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#adventure', '#life']",1229,1
"So proud of my progress, everything is falling into place!",703,Just another social media user.,34,New York,"['#tech', '#workout', '#life', '#books']",762,1
Here's a picture of my new lunch. #yum,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#hate', '#newbeginnings', '#adventure', '#lifeisgood']",894,2
I can't believe how bad today was. Everything went wrong.,703,Just another social media user.,34,New York,['#tech'],920,0
I can't believe how far I've come. So grateful!,33142,Lifestyle guru and content creator.,30,London,"['#fitness', '#newbeginnings', '#adventure', '#workout']",530,1
Catch me at the gym later today.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#blessed', '#travel', '#inspiration', '#books']",975,2
Here's a picture of my new lunch. #yum,33142,Lifestyle guru and content creator.,30,London,"['#selfcare', '#books', '#blessed']",1074,2
Just got my dream job! Feeling on top of the world!,33142,Lifestyle guru and content creator.,30,London,"['#tech', '#dreams']",557,1
So excited about my new adventure in life!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#newbeginnings', '#positivity']",722,1
Disappointed with the way things are turning out.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#love'],337,0
Just got my dream job! Feeling on top of the world!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#life', '#dreams', '#inspiration', '#lifeisgood']",1017,1
Spent the afternoon doing some reading. A pretty chill day.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#blessed'],1203,2
Here's a picture of my new lunch. #yum,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#hate', '#workout', '#blessed', '#books']",324,2
I can't shake this feeling of failure. I feel stuck.,33142,Lifestyle guru and content creator.,30,London,"['#inspiration', '#travel', '#grateful', '#food']",449,0
Just finished a long day at work. Time to relax.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#tech', '#fitness', '#grateful']",1138,2
Just finished a long day at work. Time to relax.,703,Just another social media user.,34,New York,"['#workout', '#books']",712,2
Just finished a long day at work. Time to relax.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#positivity'],450,2
I can't believe how far I've come. So grateful!,2049,Freelance photographer. Love the outdoors.,27,Paris,['#travel'],742,1
Went to a coffee shop today. The vibe was nice.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#workout', '#motivation']",578,2
This has been the worst week ever. I need a break!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#adventure', '#grateful', '#positivity', '#books']",827,0
Just got my dream job! Feeling on top of the world!,33142,Lifestyle guru and content creator.,30,London,"['#fitness', '#travel', '#life', '#hate']",1382,1
It's a regular Monday.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#lifeisgood', '#motivation', '#books', '#blessed']",1040,2
It's a regular Monday.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#travel', '#blessed']",1042,2
I can't believe how bad today was. Everything went wrong.,33142,Lifestyle guru and content creator.,30,London,"['#inspiration', '#travel', '#newbeginnings']",1122,0
I regret my decision. This was a terrible choice.,33142,Lifestyle guru and content creator.,30,London,"['#love', '#motivation', '#blessed']",336,0
Today was amazing! I’m so grateful for everything.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#hate'],1213,1
Disappointed with the way things are turning out.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#newbeginnings', '#dreams', '#fitness', '#grateful']",885,0
This has been the worst week ever. I need a break!,703,Just another social media user.,34,New York,"['#blessed', '#books', '#inspiration']",415,0
It's a regular Monday.,33142,Lifestyle guru and content creator.,30,London,"['#fitness', '#grateful', '#weekend', '#travel']",961,2
Nothing beats the feeling of accomplishing your goals!,33142,Lifestyle guru and content creator.,30,London,"['#food', '#tech', '#dreams']",1403,1
