User ID,User Name,Age Group,Age,Gender,Height (cm),Weight (kg),Body Fat Percentage,Daily Caloric Intake,Workout Type,Workout Duration (min),Weekly Exercise Frequency,Sleep Hours,Goal,Progress,Mood,Hydration
6287,User_6287,46-55 (Older Adults),54,Non-binary,171,46,22.7,2745,Pilates,86,6,9,Increase Flexibility,Average (50%-69%),Happy,Moderate (2L-3L)
8031,User_8031,46-55 (Older Adults),52,Female,179,98,16.5,2451,Weight Training,36,4,6,Muscle Gain,Excellent (90%-100%),Bored,Moderate (2L-3L)
2614,User_2614,26-35 (Adults),28,Non-binary,166,70,37.8,2454,Yoga,46,4,9,Maintain Weight,Excellent (90%-100%),Unmotivated,Low (<2L)
9863,User_9863,18-25 (Young Adults),25,Male,174,69,28.4,2069,HIIT,39,6,10,Maintain Weight,Good (70%-89%),Motivated,High (>3L)
4120,User_4120,46-55 (Older Adults),48,Female,161,106,38.6,2633,Crossfit,26,6,9,Increase Flexibility,Poor (0%-29%),Motivated,Moderate (2L-3L)
8642,User_8642,36-45 (Mid-Aged Adults),41,Female,181,101,29.1,3258,Cycling,33,5,7,Muscle Gain,Excellent (90%-100%),Focused,High (>3L)
1872,User_1872,46-55 (Older Adults),51,Male,172,57,29.7,1891,Pilates,55,7,6,Increase Flexibility,Excellent (90%-100%),Motivated,High (>3L)
4363,User_4363,26-35 (Adults),30,Female,156,118,28.2,1869,Swimming,69,5,10,Weight Loss,Excellent (90%-100%),Energized,High (>3L)
4674,User_4674,36-45 (Mid-Aged Adults),38,Male,165,65,22.3,2988,HIIT,82,3,6,Maintain Weight,Needs Improvement (30%-49%),Bored,Low (<2L)
2340,User_2340,36-45 (Mid-Aged Adults),41,Male,187,111,19.3,1917,Running,67,7,6,Muscle Gain,Excellent (90%-100%),Bored,Moderate (2L-3L)
1839,User_1839,36-45 (Mid-Aged Adults),38,Male,171,107,27.3,2764,Swimming,85,5,6,Maintain Weight,Needs Improvement (30%-49%),Focused,Moderate (2L-3L)
2432,User_2432,18-25 (Young Adults),19,Male,150,113,17.2,1819,Weight Training,52,5,9,Muscle Gain,Good (70%-89%),Motivated,Low (<2L)
1491,User_1491,18-25 (Young Adults),25,Non-binary,178,82,36.5,3147,Crossfit,62,5,10,Muscle Gain,Good (70%-89%),Relaxed,High (>3L)
1642,User_1642,18-25 (Young Adults),20,Female,151,58,12.8,3001,Swimming,68,4,10,Weight Loss,Average (50%-69%),Stressed,Low (<2L)
6913,User_6913,56+ (Seniors),64,Non-binary,167,49,33.4,2526,Cycling,23,4,8,Maintain Weight,Excellent (90%-100%),Confident,Low (<2L)
2945,User_2945,18-25 (Young Adults),19,Female,172,93,15.7,1938,HIIT,38,3,7,Weight Loss,Poor (0%-29%),Tired,High (>3L)
